iter	Passed	Remaining
0	190	152006
1	201	80255
2	212	56571
3	224	44761
4	236	37604
5	248	32834
6	259	29417
7	274	27192
8	288	25317
9	303	23985
10	322	23141
11	345	22688
12	367	22248
13	393	22094
14	419	21971
15	486	23857
16	524	24152
17	553	24024
18	591	24316
19	620	24190
20	645	23955
21	675	23888
22	698	23586
23	719	23248
24	750	23261
25	790	23530
26	817	23400
27	849	23424
28	881	23422
29	915	23496
30	946	23483
31	971	23315
32	994	23113
33	1015	22882
34	1042	22787
35	1064	22598
36	1088	22449
37	1114	22355
38	1140	22260
39	1162	22082
40	1193	22094
41	1215	21929
42	1232	21701
43	1251	21496
44	1268	21279
45	1286	21088
46	1306	20936
47	1325	20765
48	1342	20582
49	1362	20434
50	1380	20273
51	1400	20151
52	1418	19988
53	1434	19824
54	1454	19696
55	1473	19579
56	1492	19454
57	1509	19308
58	1527	19187
59	1546	19067
60	1564	18951
61	1581	18819
62	1607	18805
63	1627	18718
64	1651	18676
65	1671	18591
66	1688	18476
67	1707	18375
68	1724	18270
69	1744	18190
70	1761	18088
71	1781	18009
72	1798	17908
73	1817	17826
74	1833	17721
75	1849	17616
76	1865	17513
77	1881	17418
78	1897	17321
79	1914	17226
80	1930	17134
81	1947	17052
82	1964	16968
83	1980	16885
84	2001	16838
85	2017	16753
86	2034	16677
87	2050	16593
88	2066	16509
89	2082	16430
90	2098	16352
91	2115	16277
92	2131	16202
93	2149	16144
94	2173	16126
95	2193	16085
96	2211	16031
97	2231	15983
98	2248	15919
99	2265	15856
100	2282	15797
101	2300	15742
102	2317	15682
103	2335	15633
104	2352	15573
105	2369	15515
106	2388	15466
107	2412	15459
108	2429	15401
109	2445	15342
110	2464	15295
111	2484	15261
112	2501	15210
113	2518	15156
114	2537	15111
115	2556	15071
116	2574	15029
117	2595	15002
118	2612	14949
119	2628	14896
120	2646	14853
121	2664	14807
122	2685	14781
123	2704	14742
124	2722	14703
125	2741	14664
126	2758	14615
127	2774	14565
128	2792	14524
129	2810	14486
130	2834	14477
131	2852	14432
132	2869	14388
133	2886	14347
134	2903	14304
135	2920	14259
136	2938	14219
137	2955	14176
138	2973	14139
139	2991	14101
140	3011	14073
141	3031	14047
142	3052	14024
143	3072	13997
144	3093	13971
145	3114	13951
146	3134	13925
147	3155	13901
148	3177	13882
149	3199	13862
150	3228	13876
151	3252	13865
152	3285	13891
153	3308	13876
154	3328	13852
155	3349	13828
156	3372	13811
157	3393	13787
158	3411	13753
159	3430	13723
160	3449	13689
161	3470	13669
162	3493	13651
163	3515	13632
164	3536	13610
165	3557	13587
166	3583	13581
167	3604	13559
168	3626	13539
169	3652	13537
170	3675	13518
171	3694	13487
172	3711	13450
173	3730	13421
174	3757	13419
175	3779	13401
176	3804	13391
177	3827	13374
178	3849	13354
179	3870	13331
180	3890	13304
181	3906	13265
182	3922	13225
183	3940	13192
184	3956	13151
185	3972	13114
186	3988	13075
187	4005	13040
188	4021	13001
189	4037	12963
190	4056	12932
191	4073	12899
192	4090	12863
193	4106	12826
194	4122	12791
195	4138	12753
196	4154	12716
197	4169	12678
198	4186	12642
199	4202	12606
200	4219	12574
201	4237	12544
202	4257	12521
203	4275	12491
204	4292	12459
205	4310	12430
206	4329	12403
207	4346	12371
208	4363	12338
209	4383	12315
210	4404	12294
211	4425	12274
212	4446	12253
213	4468	12235
214	4494	12228
215	4515	12209
216	4535	12184
217	4554	12158
218	4574	12135
219	4591	12103
220	4607	12072
221	4635	12068
222	4656	12049
223	4678	12029
224	4700	12011
225	4721	11991
226	4742	11970
227	4765	11954
228	4790	11945
229	4812	11926
230	4831	11901
231	4852	11879
232	4873	11858
233	4899	11851
234	4920	11830
235	4941	11810
236	4963	11790
237	4983	11768
238	5004	11748
239	5023	11722
240	5045	11703
241	5068	11686
242	5087	11662
243	5108	11641
244	5128	11618
245	5150	11599
246	5171	11578
247	5192	11558
248	5214	11538
249	5234	11516
250	5256	11496
251	5276	11473
252	5301	11461
253	5327	11451
254	5349	11433
255	5370	11412
256	5391	11390
257	5411	11369
258	5433	11349
259	5454	11328
260	5477	11311
261	5495	11285
262	5512	11255
263	5529	11226
264	5548	11200
265	5564	11169
266	5580	11139
267	5596	11108
268	5612	11079
269	5629	11050
270	5645	11019
271	5661	10989
272	5676	10958
273	5693	10930
274	5709	10900
275	5726	10871
276	5746	10849
277	5762	10819
278	5778	10790
279	5794	10761
280	5816	10742
281	5835	10719
282	5853	10693
283	5870	10665
284	5888	10640
285	5904	10611
286	5920	10583
287	5937	10555
288	5953	10527
289	5970	10499
290	5986	10471
291	6002	10442
292	6018	10415
293	6035	10387
294	6051	10359
295	6067	10331
296	6083	10303
297	6099	10275
298	6115	10247
299	6132	10220
300	6151	10197
301	6168	10171
302	6184	10143
303	6200	10117
304	6216	10089
305	6233	10062
306	6249	10035
307	6265	10008
308	6281	9981
309	6298	9955
310	6314	9929
311	6334	9907
312	6354	9887
313	6372	9862
314	6389	9837
315	6405	9811
316	6421	9784
317	6437	9757
318	6453	9731
319	6469	9704
320	6486	9678
321	6502	9652
322	6518	9626
323	6538	9605
324	6554	9579
325	6574	9558
326	6590	9532
327	6606	9506
328	6622	9480
329	6638	9454
330	6654	9428
331	6670	9403
332	6690	9382
333	6708	9360
334	6729	9341
335	6748	9319
336	6766	9296
337	6784	9274
338	6803	9252
339	6822	9230
340	6840	9207
341	6861	9188
342	6882	9169
343	6902	9150
344	6921	9128
345	6939	9104
346	6957	9082
347	6978	9064
348	6997	9043
349	7016	9021
350	7034	8998
351	7056	8980
352	7075	8959
353	7094	8938
354	7116	8920
355	7140	8905
356	7157	8881
357	7173	8856
358	7189	8832
359	7206	8807
360	7223	8783
361	7239	8758
362	7256	8736
363	7273	8712
364	7290	8688
365	7307	8665
366	7323	8640
367	7339	8616
368	7355	8591
369	7374	8570
370	7396	8552
371	7413	8530
372	7432	8508
373	7449	8485
374	7465	8461
375	7481	8437
376	7498	8413
377	7516	8391
378	7537	8372
379	7553	8348
380	7569	8324
381	7586	8301
382	7602	8277
383	7618	8253
384	7634	8229
385	7650	8205
386	7668	8183
387	7684	8159
388	7700	8136
389	7717	8112
390	7732	8088
391	7749	8065
392	7765	8041
393	7788	8025
394	7808	8006
395	7833	7991
396	7852	7971
397	7869	7948
398	7885	7925
399	7904	7904
400	7925	7886
401	7942	7863
402	7960	7841
403	7976	7818
404	7992	7795
405	8009	7772
406	8025	7749
407	8041	7726
408	8058	7704
409	8074	7680
410	8091	7658
411	8108	7635
412	8124	7612
413	8141	7590
414	8157	7568
415	8173	7545
416	8194	7525
417	8210	7503
418	8226	7480
419	8244	7458
420	8259	7435
421	8276	7413
422	8293	7391
423	8310	7369
424	8327	7347
425	8343	7325
426	8359	7302
427	8374	7279
428	8390	7256
429	8406	7233
430	8421	7210
